customer_id,first_name,last_name,email,phone,address,city,state,postal_code,country,region,signup_date,customer_segment,marketing_opt_in
CUST000001,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,9402 Peterson Drives,Port Matthew,CO,50298,United States,Northeast,2023-05-05,Standard,True
CUST000002,Colin,Abbott,lindsay78@example.org,(518)349-5931x0341,7525 Clark Grove Apt. 928,East Steven,KY,84387,United States,Northeast,2025-08-22,Standard,False
CUST000003,Hailey,Robinson,megan03@example.org,564-613-9537x67242,653 William Course Apt. 122,Carlsonfurt,MS,78605,United States,Northeast,2022-11-11,Standard,True
CUST000004,Wendy,Rice,frazierdanny@example.net,001-645-514-6270x48281,2880 Burns Creek,Natashaport,IA,08093,United States,West,2022-11-16,Premium,False
CUST000005,John,Bradley,millertodd@example.org,001-682-827-8248x96383,8713 Caleb Brooks Apt. 930,Lake Crystalbury,CA,04618,United States,Northeast,2022-05-12,Enterprise,False
CUST000006,Michele,Jones,joshuawashington@example.net,(399)873-7631,6701 Richard Junction Apt. 333,Taylorburgh,KY,61138,United States,Midwest,2022-10-31,Premium,True
CUST000007,John,Leblanc,jmorton@example.org,5808132677,60647 Henderson Street,Mooreport,IL,08166,United States,Northeast,2024-01-21,Premium,False
CUST000008,Beth,Daniels,brian97@example.net,220.381.2191x36193,998 Donovan Ford Suite 346,Lake Debbie,NH,41942,United States,West,2025-07-25,Standard,False
CUST000009,Sarah,Walls,ellisyolanda@example.org,783-684-2513,8498 Elizabeth Plaza,Sarahville,FM,18102,United States,South,2026-05-08,Enterprise,False
CUST000010,Joseph,Preston,josephjacobs@example.net,634-487-4016x40052,680 Charles Spurs Apt. 805,South David,ME,48296,United States,Northeast,2021-05-23,Enterprise,True
CUST000011,Rachel,Flynn,nolanjason@example.org,+1-815-586-9232x26025,16073 Lisa Mount Suite 433,Lake Jamesmouth,KY,09600,United States,Northeast,2022-12-25,Standard,False
CUST000012,Tammy,Ramirez,ifrazier@example.com,,9816 Jonathan Station Suite 088,West Ryan,TN,43780,United States,South,2022-05-21,Premium,False
CUST000013,Cindy,Alvarado,cortezkevin@example.com,+1-865-264-8236x62994,3699 Marshall Mills Apt. 872,West Zacharymouth,CO,98954,United States,South,2021-08-10,Enterprise,True
CUST000014,Jimmy,Collins,dylanwilliams@example.com,+1-317-869-3676x320,87083 Stephen Unions,Contrerasside,PA,42089,United States,Midwest,2022-05-23,Premium,False
CUST000015,Stephanie,Vance,jrivas@example.com,(677)943-4873,434 Flores Plains,East Edwardfurt,UT,20529,United States,Midwest,2023-10-05,Standard,True
CUST000016,Jasmine,Brown,drivera@example.com,2367690967,6889 Tracy Groves Suite 706,Elizabethfurt,VA,22133,United States,South,2024-05-31,Premium,True
CUST000017,Mary,Calhoun,meadowsbrittany@example.net,7165272046,5646 Conley Mountains Apt. 805,Lake Casey,SD,05777,United States,South,2022-10-23,Enterprise,False
CUST000018,Karen,Herring,maryhowell@example.org,(371)493-7452,90496 David Flat Apt. 931,Melissaville,WY,74678,United States,West,2022-03-20,Premium,True
CUST000019,Kimberly,Reed,estanley@example.net,+1-650-967-1657x2628,9453 Joshua Mission Apt. 799,Rogersfort,PR,43101,United States,South,2025-12-22,Premium,False
CUST000020,Hunter,Lewis,matthew94@example.net,9839136783,14363 Beck Land Suite 885,Barajasside,MA,46613,United States,Midwest,2025-05-03,Premium,True
CUST000021,Jacqueline,Nelson,jerry35@example.org,001-682-533-7498x9413,40824 Terri Plaza Suite 271,New Justinfort,NV,45158,United States,Northeast,2022-04-20,Enterprise,True
CUST000022,Jack,Williams,ewilson@example.com,519.802.2941x3186,4964 Chelsea Streets Apt. 334,East Johnside,CA,21018,United States,West,2026-01-27,Standard,False
CUST000023,Aaron,Hayes,ocarter@example.com,001-447-613-4936x183,02499 Gonzales Mountain,Hollyview,NY,71277,United States,West,2025-07-02,Premium,True
CUST000024,Troy,Miller,prestonjessica@example.net,901-639-9049x027,671 Bailey Isle,Elizabethburgh,MA,54456,United States,Northeast,2025-07-27,Premium,False
